Measurements,lat,long,Type,Date
31.44554,28.7388889,-80.8005556,Estuary,2013-11-01
44.13329,28.6033333,-80.7983333,Estuary,2013-09-19
43.72229,28.6033333,-80.7983333,Estuary,2013-10-10
38.05349,28.6033333,-80.7983333,Estuary,2013-10-10
40.47638,28.2777778,-80.6766667,Estuary,2013-12-04
40.01317,28.1944444,-80.6488889,Estuary,2013-09-06
40.16397,28.1944444,-80.6488889,Estuary,2013-09-06
36.81464,28.1944444,-80.6488889,Estuary,2013-12-04
37.33918,28.125,-80.6166667,Estuary,2013-09-06
38.77635,28.125,-80.6166667,Estuary,2013-09-06
30.14047,28.07,-80.5944444,Estuary,2013-12-04
32.74789,28.7263889,-80.7180556,Estuary,2013-09-19
31.48723,28.7263889,-80.7180556,Estuary,2013-09-19
34.84568,28.7263889,-80.7180556,Estuary,2013-09-19
31.52085,28.7263889,-80.7180556,Estuary,2013-11-01
48.31214,28.3388889,-80.6777778,Estuary,2013-12-04
44.9466,28.3388889,-80.6777778,Estuary,2013-12-04
48.67527,28.3605556,-80.68,Estuary,2013-09-23
49.84539,28.3605556,-80.68,Estuary,2013-09-23
61.36846,27.8561111,-80.5244444,River,2013-12-04
64.40886,27.8561111,-80.5244444,River,2014-01-17
65.33018,27.8561111,-80.5244444,River,2014-01-17
45.38152,28.0127777,-80.6086111,River,2009-04-02
44.38803,28.0127777,-80.6086111,River,2009-04-02
47.38158,28.0127777,-80.6086111,River,2009-05-21
43.17486,28.0127777,-80.6086111,River,2009-08-07
47.21975,28.0127777,-80.6086111,River,2009-10-30
45.81072,28.0127777,-80.6086111,River,2011-01-27
45.93307,28.0127777,-80.6086111,River,2011-01-27
43.84221,28.0127777,-80.6086111,River,2011-04-05
56.05294,28.0127777,-80.6086111,River,2011-06-22
55.41626,28.0127777,-80.6086111,River,2011-06-22
40.03627,27.9990305,-80.71283,Canal,2009-03-26
36.21666,27.9990305,-80.71283,Canal,2011-03-22
40.32544,27.9990305,-80.71283,Canal,2011-04-05
43.55643,27.9990305,-80.71283,Canal,2011-06-03
61.25154,27.9990305,-80.71283,Canal,2011-06-21
33.68929,28.0166667,-80.5961111,River,2013-09-20
33.25932,28.0166667,-80.5961111,River,2013-09-20
38.40644,28.0327778,-80.58,River,2013-11-01
37.99636,28.0327778,-80.58,River,2014-01-17
41.80056,28.1287767,-80.6503047,River,2013-11-01
49.17395,28.1287767,-80.6503047,River,2013-11-01
31.06653,27.9650459,-80.5680716,River,2013-09-20
62.62163,27.9650459,-80.5680716,River,2013-10-10
62.08281,27.9650459,-80.5680716,River,2013-10-10
45.8908,28.1612294,-80.6553811,River,2013-10-10
47.99504,28.1612294,-80.6553811,River,2013-10-10
32.52149,28.1269574,-80.6453689,River,2013-10-22
30.44916,28.1269574,-80.6453689,River,2013-10-22
43.87085,28.1269574,-80.6453689,River,2014-01-17
35.66862,28.311925,-80.8092722,River,2009-12-17
48.16394,28.311925,-80.8092722,River,2011-03-24
69.91061,28.311925,-80.8092722,River,2011-06-21
65.86988,28.311925,-80.8092722,River,2011-06-21
35.49417,28.1424417,-80.7446083,Lake,2011-05-20
30.51697,28.1424417,-80.7446083,Lake,2011-05-20
32.99273,28.1136083,-80.7472722,River,2011-06-21
57.53533,28.23595,-80.8599861,River,2011-01-18
34.31335,28.23595,-80.8599861,River,2011-02-11
39.74242,28.23595,-80.8599861,River,2011-03-24
44.95546,28.23595,-80.8599861,River,2011-03-24
42.62985,28.23595,-80.8599861,River,2011-04-13
45.66539,28.23595,-80.8599861,River,2011-06-01
46.62389,28.2685611,-80.8330056,River,2011-01-18
74.93301,28.2685611,-80.8330056,River,2011-03-24
49.78136,28.2685611,-80.8330056,River,2011-06-01
41.81223,28.2685611,-80.8330056,River,2013-07-12
30.33705,28.1668139,-80.7696417,River,2011-03-22
38.72151,27.83865,-80.7434444,Wetland,2011-03-25
40.01865,27.83865,-80.7434444,Wetland,2011-10-27
30.63131,27.83865,-80.7434444,Wetland,2011-11-18
36.24387,27.83865,-80.7434444,Wetland,2012-01-30
31.36685,27.83865,-80.7434444,Wetland,2013-04-03
32.63437,27.83865,-80.7434444,Wetland,2013-04-05
40.41553,27.83865,-80.7434444,Wetland,2013-07-19
37.55751,27.83865,-80.7434444,Wetland,2013-10-10
30.27068,27.9051778,-80.7777694,Wetland,2013-08-08
149.224,28.2875,-80.798055,Canal,2009-05-20
115.0335,28.2875,-80.798055,Canal,2011-01-18
91.3222,28.2875,-80.798055,Canal,2011-02-11
118.375,28.2875,-80.798055,Canal,2011-03-24
101.6032,28.2875,-80.798055,Canal,2011-04-13
184.9795,28.2875,-80.798055,Canal,2011-06-17
133.6098,28.2875,-80.798055,Canal,2013-04-23
89.26859,28.2875,-80.798055,Canal,2013-07-12
39.79129,27.9107556,-80.7454583,Canal,2011-10-27
37.889,27.9107556,-80.7454583,Canal,2012-01-27
60.13072,27.9107556,-80.7454583,Canal,2013-04-02
43.74325,27.8251722,-80.7409806,Canal,2011-01-18
53.00203,27.8251722,-80.7409806,Canal,2011-04-05
57.17905,27.8251722,-80.7409806,Canal,2011-06-22
45.08486,27.8251722,-80.7409806,Canal,2011-11-04
37.07253,27.8251722,-80.7409806,Canal,2011-12-13
41.802,27.8251722,-80.7409806,Canal,2013-04-03
41.66521,27.8251722,-80.7409806,Canal,2013-04-18
41.69043,27.8251722,-80.7409806,Canal,2013-04-18
37.75429,27.8251722,-80.7409806,Canal,2013-09-16
37.33027,27.8251722,-80.7409806,Canal,2013-09-26
42.23654,27.8796194,-80.7470167,Wetland,2009-12-18
74.10294,27.8796194,-80.7470167,Wetland,2011-04-08
39.52878,27.8796194,-80.7470167,Wetland,2011-11-04
37.64775,27.8796194,-80.7470167,Wetland,2011-11-18
42.12957,27.8796194,-80.7470167,Wetland,2013-09-16
37.33214,27.8668611,-80.7992833,Canal,2009-06-22
36.81058,27.8668611,-80.7992833,Canal,2011-03-25
45.56876,27.8668611,-80.7992833,Canal,2011-08-28
34.09968,28.0628417,-80.7893417,River,2011-02-11
38.48838,28.0628417,-80.7893417,River,2011-06-21
39.83334,27.8250639,-80.7219417,Wetland,2011-11-29
65.44547,27.8250639,-80.7219417,Wetland,2012-01-27
58.37633,27.8250639,-80.7219417,Wetland,2013-04-02
70.24312,27.8250639,-80.7219417,Wetland,2013-07-29
57.19589,27.8250639,-80.7219417,Wetland,2013-09-25
38.64928,27.8251194,-80.7331722,Wetland,2011-10-27
53.77972,27.8251194,-80.7331722,Wetland,2012-01-27
35.5349,27.8227111,-80.7081528,Wetland,2011-11-29
43.19571,27.8227111,-80.7081528,Wetland,2011-10-27
41.12094,27.8227111,-80.7081528,Wetland,2012-01-27
42.03525,27.8227111,-80.7081528,Wetland,2012-01-27
43.03186,27.8227111,-80.7081528,Wetland,2013-09-03
48.41372,27.8227111,-80.7081528,Wetland,2013-09-25
45.01558,27.8227111,-80.7081528,Wetland,2013-09-25
59.93626,27.8227111,-80.7081528,Wetland,2014-01-16
42.66629,27.8227111,-80.7081528,Wetland,2013-04-23
46.21191,27.8227111,-80.7081528,Wetland,2013-09-03
47.53408,27.8227111,-80.7081528,Wetland,2013-10-29
41.83929,27.8227111,-80.7081528,Wetland,2011-11-29
46.65062,27.8227111,-80.7081528,Wetland,2013-09-03
47.70166,27.8227111,-80.7081528,Wetland,2013-09-25
60.998,27.8227111,-80.7081528,Wetland,2014-01-16
52.28896,27.8227111,-80.7081528,Wetland,2011-11-29
75.81748,27.8227111,-80.7081528,Wetland,2012-01-27
44.53244,27.7992222,-80.7393056,Reservoir,2011-11-29
61.80086,27.7992222,-80.7393056,Reservoir,2013-09-25
68.72111,27.7992222,-80.7393056,Reservoir,2014-01-16
72.77712,27.7992222,-80.7393056,Reservoir,2013-07-31
52.84415,27.7992222,-80.7393056,Reservoir,2013-09-03
47.9045,27.7992222,-80.7393056,Reservoir,2013-09-16
57.61377,27.7992222,-80.7393056,Reservoir,2013-09-25
70.01809,27.7992222,-80.7393056,Reservoir,2014-01-16
36.80731,27.9893444,-80.7916806,Canal,2009-12-09
38.60362,27.9893444,-80.7916806,Canal,2009-12-09
49.08747,27.9893444,-80.7916806,Canal,2011-01-18
58.44446,27.9893444,-80.7916806,Canal,2011-04-07
32.34767,27.9893444,-80.7916806,Canal,2011-06-01
59.59135,27.9893444,-80.7916806,Canal,2011-06-22
51.44131,28.2162278,-80.8562389,Canal,2009-12-17
59.61842,28.2162278,-80.8562389,Canal,2011-04-13
46.0491,28.2162278,-80.8562389,Canal,2013-09-05
77.37135,27.8948972,-80.8027528,Canal,2011-02-17
45.31467,27.8948972,-80.8027528,Canal,2011-11-29
77.91657,27.8948972,-80.8027528,Canal,2013-07-31
33.61523,27.9399028,-80.8218806,Canal,2011-03-25
30.21511,27.9399028,-80.8218806,Canal,2011-06-01
34.03602,28.0174694,-80.6713389,Canal,2009-06-12
33.56288,28.0174694,-80.6713389,Canal,2010-01-13
37.81801,28.0174694,-80.6713389,Canal,2011-01-27
34.82495,28.0109333,-80.6715278,Canal,2011-01-27
39.55986,28.0109333,-80.6715278,Canal,2011-03-07
33.81918,28.0109333,-80.6715278,Canal,2011-04-05
39.75423,28.0109333,-80.6715278,Canal,2011-06-03
41.23914,28.0109333,-80.6715278,Canal,2011-06-22
51.07781,28.0165806,-80.7126472,Canal,2009-05-07
38.62184,28.0165806,-80.7126472,Canal,2009-10-19
54.49516,28.0165806,-80.7126472,Canal,2011-03-01
89.088,28.2472833,-80.8413861,Canal,2005-03-10
80.359,28.2472833,-80.8413861,Canal,2005-05-06
69.49,28.2472833,-80.8413861,Canal,2005-09-08
32.11,27.9051778,-80.7777694,Wetland,2005-10-28
65.708,27.8669333,-80.7461694,Canal,2005-03-10
31.24,27.8669333,-80.7461694,Canal,2005-05-27
