date,ph,ResultMeasure/MeasureUnitCode,lat,long,MonitoringLocationIdentifier
2006-07-02,37,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-03-19,35.8,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-01-01,33.8,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-01-08,34.6,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-11-29,34.2,ppth      ,27.49,-80.34,21FLMRC-IR3660
2005-02-27,35.2,ppth      ,27.47,-80.29,21FLMRC-IR3710
2005-05-22,36.4,ppth      ,27.47,-80.29,21FLMRC-IR3710
2005-05-29,36,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-06-11,36.8,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-11-12,36.4,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-09-11,35.8,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-08-12,37.2,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-01-15,36,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-01-20,33.2,ppth      ,27.44,-80.29,21FLMRC-IR3701
2006-04-21,37.2,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-01-22,34,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-02-12,33.6,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-10-01,35.2,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-08-23,35.4,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-06-30,35.6,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-05-22,37.2,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-11-17,35.6,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-12-06,34.4,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-05-03,34.4,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-01-28,35,ppth      ,27.44,-80.29,21FLMRC-IR3701
2006-02-19,33.2,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-04-30,37.6,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-05-14,37,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-07-23,36,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-05-14,37.8,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-05-10,35.6,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-10-27,36.8,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-08-20,36.4,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-08-27,36.8,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-07-30,39,ppth      ,27.42,-80.31,21FLMRC-IR3731
